age,yrsed,yrsempl,income,creddebt,othdebt,default,jobsat,homeown,address,cars,carvalue,2,3,4,5
45,6,4.0,2.2523032588823373,0.3876075,1.294482,0,4,1,22,1,11.3,0,0,0,0
67,6,15.0,2.0298559693409404,0.3876075,0.9823265,0,3,1,28,1,11.3,0,0,0,0
68,6,7.0,1.8360113070546324,0.3876075,0.9823265,0,5,0,21,1,11.3,0,0,0,0
75,6,15.0,2.2145185330389654,0.3876075,0.9823265,0,4,0,11,1,11.3,0,0,0,0
38,7,8.0,2.704246861378462,0.3876075,0.9823265,0,3,0,11,1,22.1,0,0,0,0
49,7,4.0,2.381023211425735,0.3876075,1.270857,0,1,1,14,1,11.3,0,0,0,0
52,7,15.0,2.797115291190978,0.817608,1.690392,0,3,1,11,1,19.8,0,0,0,0
61,7,15.0,2.173867546507328,0.87024,0.9823265,0,4,1,35,1,11.3,0,0,0,0
62,7,5.0,2.6243162309641788,0.476576,1.219424,0,5,1,29,1,14.6,0,0,0,0
68,7,7.0,2.6065744664362365,0.3876075,0.9823265,0,4,1,18,1,13.6,0,0,0,0
69,7,7.0,2.5881508887538,0.84564,4.37436,0,3,1,32,1,13.4,0,0,0,0
74,7,11.0,1.9722154322948249,0.883938,0.9823265,0,3,0,12,1,11.3,0,0,0,0
78,7,12.0,2.2145185330389654,1.543168,1.272832,0,4,0,21,1,11.3,0,0,0,0
18,8,2.0,2.08213820289468,0.676338,1.585662,0,1,1,0,1,11.3,0,0,0,0
21,8,4.0,2.287575489231605,0.776448,1.527552,1,2,1,1,1,11.3,0,0,0,0
23,8,2.0,2.46003030879136,0.3876075,1.124448,0,4,1,2,1,14.3,0,0,0,0
26,8,4.0,2.435041821647632,0.3876075,1.364475,0,1,1,5,1,14.3,0,0,0,0
30,8,7.0,2.2523032588823373,0.3876075,1.24576,0,3,1,9,1,11.3,0,0,0,0
30,8,2.0,2.549051568126432,0.3876075,0.9823265,0,3,0,9,1,16.1,0,0,0,0
34,8,2.0,2.381023211425735,1.454376,0.9823265,1,2,0,6,1,11.3,0,0,0,0
34,8,14.0,2.4838305985025193,0.54385,3.10615,0,4,0,13,1,11.3,0,0,0,0
34,8,3.0,2.549051568126432,0.3876075,0.9823265,0,2,1,12,1,13.6,0,0,0,0
38,8,10.0,2.6065744664362365,0.631904,0.9823265,0,2,1,16,1,16.8,0,0,0,0
46,8,15.0,2.506543444863037,0.3876075,1.483352,0,5,0,4,1,13.0,0,0,0,0
46,8,15.0,2.831759586179901,0.3876075,0.9823265,0,3,0,23,1,22.4,0,0,0,0
46,8,8.0,2.704246861378462,1.42524,1.23876,0,4,1,4,1,16.6,0,0,0,0
51,8,15.0,2.884117573346206,1.974336,3.901664,0,4,0,13,1,33.3,0,0,0,0
57,8,15.0,3.0534149632565373,0.988785,3.610215,0,4,1,26,1,33.9,0,0,0,0
62,8,15.0,3.07287928386884,0.687648,1.516352,0,3,1,25,1,28.1,0,0,0,0
65,8,2.0,1.9080988606101055,0.415,0.9823265,0,2,0,18,1,11.3,0,0,0,0
66,8,15.0,1.8360113070546324,0.3876075,0.9823265,0,4,0,36,1,11.3,0,0,0,0
67,8,15.0,3.163435680457179,1.795472,4.4213445,0,4,0,33,1,33.9,0,0,0,0
70,8,9.0,2.6243162309641788,0.3876075,0.9823265,0,3,0,23,1,13.0,0,0,0,0
71,8,15.0,2.956720021331736,1.02672,4.4213445,0,4,1,28,1,33.9,0,0,0,0
71,8,15.0,3.370644403203526,0.3876075,2.4966,0,3,0,24,1,33.9,0,0,0,0
72,8,7.0,2.46003030879136,0.403824,0.9823265,0,3,0,13,1,11.3,0,0,0,0
76,8,15.0,1.8360113070546324,0.3876075,0.9823265,0,5,1,25,1,11.3,0,0,0,0
78,8,15.0,2.842736942103692,2.073464,4.4213445,0,2,1,42,1,30.0,0,0,0,0
78,8,15.0,2.3206286159024154,0.435784,1.350216,0,3,1,26,1,11.3,0,0,0,0
78,8,15.0,2.0298559693409404,0.3876075,0.9823265,0,5,1,49,1,11.3,0,0,0,0
78,8,10.0,2.173867546507328,0.80613,1.57887,0,3,0,10,1,11.3,0,0,0,0
18,9,2.0,2.173867546507328,0.3876075,0.9823265,1,2,0,0,1,11.3,0,0,0,0
21,9,2.0,2.287575489231605,0.64296,0.9823265,1,1,1,1,1,11.3,0,0,0,0
21,9,2.0,2.2523032588823373,0.3876075,1.837904,1,1,0,0,1,11.3,0,0,0,0
22,9,3.0,2.5689952186268696,0.3876075,0.9823265,1,3,0,1,1,15.5,0,0,0,0
22,9,3.0,2.46003030879136,0.54636,2.93364,0,2,0,1,1,11.3,0,0,0,0
24,9,2.0,2.287575489231605,0.3876075,0.9823265,0,1,1,3,1,11.3,0,0,0,0
25,9,3.0,2.4838305985025193,1.8645,0.9823265,0,1,1,4,1,13.3,0,0,0,0
28,9,2.0,2.287575489231605,0.742968,0.9823265,1,2,1,5,1,11.8,0,0,0,0
33,9,8.0,2.6243162309641788,0.3876075,3.745728,1,2,1,9,1,17.1,0,0,0,0
37,9,3.0,2.2145185330389654,0.3876075,1.56648,0,2,0,8,1,11.3,0,0,0,0
37,9,8.0,2.549051568126432,0.3876075,0.9823265,0,4,1,13,1,16.3,0,0,0,0
37,9,4.0,2.759593793940161,0.3876075,3.293284,0,4,0,10,1,23.2,0,0,0,0
41,9,7.0,2.6065744664362365,0.760368,1.502632,0,3,0,13,1,13.5,0,0,0,0
43,9,4.0,2.784949218215684,0.796876,4.062124,0,4,0,10,1,26.5,0,0,0,0
44,9,3.0,2.8534502238266977,1.137045,3.321955,0,3,0,7,1,21.2,0,0,0,0
44,9,4.0,2.5881508887538,0.5805,0.9823265,0,1,1,12,1,12.1,0,0,0,0
47,9,9.0,3.0467182124453904,2.073464,4.4213445,1,5,0,3,1,33.9,0,0,0,0
50,9,10.0,3.120680732210223,2.073464,4.4213445,1,2,0,17,1,33.9,0,0,0,0
50,9,2.0,2.435041821647632,1.213664,1.914336,1,4,1,12,1,15.0,0,0,0,0
51,9,15.0,2.9308975585638106,0.3876075,0.9823265,0,3,0,13,1,20.2,0,0,0,0
53,9,15.0,2.8741300447498843,2.005269,4.4213445,0,1,0,25,1,21.7,0,0,0,0
55,9,5.0,2.4087501327041116,0.801108,0.9823265,0,3,1,10,1,11.3,0,0,0,0
56,9,15.0,3.382278869740197,0.6762,4.4213445,0,5,1,29,1,33.9,0,0,0,0
57,9,11.0,2.9034356629116993,1.5876,4.4213445,0,1,1,21,1,25.4,0,0,0,0
58,9,14.0,3.163435680457179,1.246784,0.9823265,0,3,1,31,1,33.9,0,0,0,0
59,9,15.0,3.07287928386884,1.14608,4.4213445,0,5,1,25,1,18.4,0,0,0,0
59,9,15.0,3.0600053518353385,0.67266,4.4213445,0,4,1,32,1,30.0,0,0,0,0
59,9,15.0,2.7187175674665944,0.563958,1.374042,0,2,0,13,1,21.7,0,0,0,0
61,9,15.0,3.2243963370996536,2.073464,4.4213445,0,4,1,25,1,33.9,0,0,0,0
61,9,13.0,2.657931590812515,1.375232,2.976768,0,1,1,25,1,18.9,0,0,0,0
61,9,15.0,3.131802584847892,0.85785,0.9823265,0,5,0,32,1,33.9,0,0,0,0
63,9,5.0,2.6065744664362365,2.073464,4.3989,0,1,0,18,1,14.2,0,0,0,0
64,9,15.0,3.1426261891450604,1.29888,4.4213445,0,5,1,40,1,33.9,0,0,0,0
64,9,15.0,2.5689952186268696,1.922816,1.789184,0,3,0,31,1,13.0,0,0,0,0
64,9,15.0,3.468524854018558,0.924048,4.4213445,0,4,1,39,1,33.9,0,0,0,0
67,9,13.0,3.183213706404368,1.560768,0.9823265,0,5,1,28,1,33.9,0,0,0,0
67,9,2.0,2.5282575874854296,0.629532,4.4213445,0,1,1,30,1,12.1,0,0,0,0
70,9,15.0,2.9308975585638106,2.073464,4.25334,0,5,1,21,1,30.8,0,0,0,0
74,9,15.0,2.973110644253181,2.073464,4.205956,0,4,1,40,1,33.3,0,0,0,0
74,9,15.0,1.9722154322948249,0.3876075,0.9823265,0,2,1,9,1,11.3,0,0,0,0
75,9,15.0,1.9080988606101055,0.472,0.9823265,0,3,0,43,1,11.3,0,0,0,0
77,9,15.0,2.657931590812515,0.409836,3.772164,0,5,1,57,1,14.2,0,0,0,0
77,9,12.0,2.3206286159024154,0.3876075,1.91292,0,1,1,30,1,11.3,0,0,0,0
79,9,15.0,2.287575489231605,1.337256,0.9823265,0,4,1,23,1,11.6,0,0,0,0
79,9,9.0,2.173867546507328,0.3876075,0.9823265,0,3,0,7,1,11.3,0,0,0,0
20,10,2.0,2.4087501327041116,1.3409,1.1891,0,3,0,1,1,12.4,0,0,0,0
22,10,2.0,2.381023211425735,1.857744,1.334256,1,1,1,2,1,11.3,0,0,0,0
23,10,4.0,2.732749924868649,0.3876075,2.381496,0,1,0,2,1,21.5,0,0,0,0
23,10,2.0,2.641421570789816,0.424116,0.9823265,1,1,0,2,1,11.3,0,0,0,0
26,10,3.0,2.5282575874854296,0.512082,1.053918,1,2,0,2,1,11.8,0,0,0,0
27,10,3.0,2.351708521806686,0.3876075,0.9823265,1,3,1,5,1,12.8,0,0,0,0
30,10,7.0,2.704246861378462,0.524475,0.9823265,1,2,0,7,1,15.5,0,0,0,0
32,10,12.0,2.5282575874854296,0.3876075,1.396656,0,4,0,4,1,11.3,0,0,0,0
33,10,14.0,2.6893116971750457,1.7901,0.9823265,0,4,1,7,1,15.6,0,0,0,0
37,10,3.0,2.5881508887538,2.073464,1.73712,0,2,1,12,1,12.8,0,0,0,0
38,10,13.0,2.641421570789816,0.808863,3.382137,0,5,1,17,1,19.1,0,0,0,0
39,10,8.0,2.7463679525813456,0.89392,2.06608,0,4,1,15,1,21.7,0,0,0,0
41,10,4.0,2.7463679525813456,0.47736,1.08264,0,2,1,14,1,18.9,0,0,0,0
41,10,2.0,2.287575489231605,0.3876075,1.14885,0,2,0,8,1,11.3,0,0,0,0
42,10,4.0,2.9308975585638106,2.073464,3.970449,1,2,1,13,1,31.6,0,0,0,0
42,10,9.0,2.8089624323150884,0.978075,4.4213445,0,5,0,4,1,25.5,0,0,0,0
42,10,6.0,2.842736942103692,0.3876075,1.144224,0,4,0,22,1,18.2,0,0,0,0
43,10,7.0,2.435041821647632,1.40415,4.4213445,1,5,0,20,1,11.3,0,0,0,0
44,10,12.0,3.0534149632565373,1.250928,0.9823265,0,5,1,9,1,33.9,0,0,0,0
44,10,8.0,2.6065744664362365,1.959758,2.566242,0,3,1,13,1,20.3,0,0,0,0
44,10,7.0,2.657931590812515,0.3876075,0.9823265,0,5,1,14,1,17.2,0,0,0,0
44,10,15.0,3.097478579611526,1.30832,0.9823265,0,5,1,14,1,33.9,0,0,0,0
45,10,15.0,2.797115291190978,0.98736,4.4213445,0,2,1,25,1,30.9,0,0,0,0
46,10,15.0,2.973110644253181,1.482544,1.989456,0,3,0,16,1,33.9,0,0,0,0
46,10,15.0,2.9034356629116993,0.754272,3.133728,0,5,1,12,1,21.9,0,0,0,0
50,10,6.0,3.0329925585919573,0.7644,1.6856,0,3,0,18,1,33.9,0,0,0,0
50,10,8.0,2.6065744664362365,1.337402,1.948598,0,2,1,26,1,14.9,0,0,0,0
51,10,7.0,2.506543444863037,0.3876075,0.9823265,0,3,0,15,1,13.2,0,0,0,0
52,10,15.0,3.0115206977931366,0.598846,2.148154,0,4,1,21,1,31.1,0,0,0,0
54,10,8.0,2.46003030879136,2.073464,2.487024,0,3,1,21,1,15.4,0,0,0,0
57,10,15.0,2.9219351260234374,1.734656,4.4213445,0,5,1,21,1,24.5,0,0,0,0
58,10,12.0,3.039911869358181,0.720792,3.113208,0,3,1,23,1,29.7,0,0,0,0
60,10,15.0,3.1479307227755298,0.3876075,4.4213445,0,4,1,28,1,33.9,0,0,0,0
60,10,15.0,2.759593793940161,1.011142,0.9823265,0,1,1,30,1,17.9,0,0,0,0
60,10,15.0,3.288317486989976,1.036728,4.4213445,0,5,0,27,1,33.9,0,0,0,0
62,10,15.0,2.5282575874854296,1.499904,1.848096,0,5,0,18,1,12.6,0,0,0,0
63,10,11.0,2.657931590812515,0.3876075,0.9823265,0,5,0,15,1,20.6,0,0,0,0
63,10,10.0,3.0791686310061497,2.073464,2.308614,0,4,1,25,1,33.9,0,0,0,0
63,10,2.0,2.3206286159024154,1.399255,1.317745,0,1,0,26,1,11.3,0,0,0,0
64,10,12.0,2.6738836288689836,0.471835,1.663165,0,3,1,26,1,19.2,0,0,0,0
64,10,2.0,2.6065744664362365,0.721556,0.9823265,0,5,1,29,1,18.1,0,0,0,0
66,10,15.0,1.9080988606101055,0.3876075,0.9823265,0,2,0,23,1,11.3,0,0,0,0
67,10,15.0,2.435041821647632,0.3876075,0.9823265,0,4,1,44,1,13.5,0,0,0,0
68,10,15.0,1.8360113070546324,0.3876075,0.9823265,0,5,0,9,1,11.3,0,0,0,0
68,10,15.0,3.2846192913159835,0.39204,0.9823265,0,4,1,28,1,33.9,0,0,0,0
68,10,15.0,3.4945998756812484,2.073464,4.4213445,0,1,1,24,1,33.9,0,0,0,0
69,10,10.0,1.8360113070546324,0.902286,2.166714,0,3,1,22,1,11.3,0,0,0,0
69,10,6.0,3.0534149632565373,0.3876075,0.9823265,0,3,1,31,1,33.9,0,0,0,0
70,10,13.0,3.137250736446733,1.273419,3.163581,0,1,1,40,1,33.9,0,0,0,0
72,10,9.0,2.173867546507328,0.3876075,0.9823265,0,3,1,36,1,11.3,0,0,0,0
74,10,15.0,2.641421570789816,0.3876075,3.620694,0,5,1,28,1,14.7,0,0,0,0
74,10,15.0,2.173867546507328,0.5922,1.2078,0,4,0,12,1,11.3,0,0,0,0
74,10,10.0,2.6893116971750457,1.069704,1.918296,0,3,1,45,1,20.6,0,0,0,0
75,10,11.0,2.549051568126432,0.394548,0.9823265,0,2,1,13,1,13.8,0,0,0,0
75,10,15.0,3.232988582597971,1.06786,1.07214,0,5,0,35,1,33.9,0,0,0,0
75,10,15.0,2.173867546507328,0.3876075,1.19187,0,4,0,17,1,11.3,0,0,0,0
