yrsempl,creddebt,othdebt,default,jobsat,homeown,address,cars,carvalue,2,3,4,5
2.0,0.3876075,1.1172,1,2,1,3,3,11.3,0,1,0,0
2.0,0.3876075,2.9728,0,2,1,3,3,20.1,0,0,0,1
2.0,1.297296,1.510704,1,2,0,5,4,11.3,0,1,0,0
2.0,2.073464,3.104244,1,2,0,2,3,30.0,0,0,1,0
15.0,0.3876075,1.321639,0,4,1,29,3,11.3,0,1,0,0
2.0,2.073464,4.417578,1,3,0,3,2,25.6,1,0,0,0
12.0,2.073464,4.4213445,1,4,1,16,3,33.9,1,0,0,0
15.0,0.3876075,0.9823265,0,4,1,14,2,11.3,0,0,1,0
2.0,2.073464,3.556662,1,1,1,3,4,19.8,1,0,0,0
15.0,0.953904,1.050096,0,4,1,13,2,11.3,1,0,0,0
10.0,0.3876075,0.9823265,0,5,1,17,2,20.0,0,0,0,1
15.0,0.3876075,0.9823265,0,4,0,14,5,11.3,0,0,0,0
4.0,1.843632,2.062368,0,1,0,11,1,18.8,1,0,0,0
11.0,0.3876075,0.9823265,0,1,0,22,1,11.3,0,0,1,0
6.0,2.073464,4.4213445,1,1,1,29,3,33.9,0,0,1,0
12.0,1.39104,4.12896,0,4,1,23,2,30.6,1,0,0,0
5.0,0.3876075,1.3209,1,4,0,7,2,15.8,0,0,0,1
6.0,0.3876075,0.9823265,0,4,1,5,2,11.3,0,1,0,0
3.0,0.46644,2.29356,0,3,1,6,2,15.8,1,0,0,0
12.0,2.029635,3.853365,0,4,1,27,3,22.9,1,0,0,0
15.0,0.3876075,0.9823265,0,5,1,37,2,11.3,0,1,0,0
2.0,0.396576,0.9823265,0,2,1,10,4,28.9,0,0,1,0
2.0,0.94581,0.9823265,0,2,0,2,2,11.3,0,0,1,0
2.0,0.3876075,0.9823265,0,2,1,13,5,13.8,1,0,0,0
5.0,1.12996,1.53504,0,2,0,8,2,33.9,0,0,1,0
2.0,0.3876075,1.955575,1,1,0,4,1,11.3,0,0,0,0
3.0,0.466923,4.156077,0,4,1,24,2,33.9,0,0,1,0
6.0,2.073464,4.4213445,0,2,1,17,1,33.9,0,0,1,0
15.0,2.073464,4.4213445,1,4,0,15,3,33.9,1,0,0,0
11.0,0.3876075,0.9823265,0,1,1,7,2,11.3,1,0,0,0
5.0,2.073464,1.097024,0,1,1,17,2,33.9,0,0,0,1
2.0,0.76472,1.17128,0,2,1,10,1,21.9,0,0,1,0
12.0,1.657656,1.774344,0,5,0,12,3,20.7,1,0,0,0
2.0,1.22202,1.56798,1,1,1,2,2,11.3,0,0,1,0
14.0,1.100841,3.022159,1,3,0,19,3,20.7,0,0,0,0
4.0,2.073464,2.19952,1,2,1,4,3,11.3,1,0,0,0
8.0,0.3876075,0.9823265,0,2,1,5,2,20.7,0,1,0,0
15.0,2.073464,4.4213445,0,5,1,48,2,22.0,0,0,1,0
15.0,1.232,4.4213445,0,1,0,13,3,27.7,0,0,0,0
2.0,1.31733,2.25267,0,2,1,1,3,15.1,0,1,0,0
2.0,2.073464,0.9823265,1,1,1,0,4,11.3,1,0,0,0
10.0,0.780528,4.067472,1,3,1,19,3,21.2,1,0,0,0
2.0,2.073464,1.72445,1,3,1,8,2,16.2,1,0,0,0
5.0,1.344,2.156,0,3,1,19,2,20.2,1,0,0,0
15.0,1.704726,1.049274,0,5,1,50,2,11.3,0,0,0,0
2.0,0.3876075,0.9823265,0,1,0,6,4,11.3,0,1,0,0
15.0,2.073464,4.4213445,0,5,1,39,3,33.9,1,0,0,0
12.0,2.073464,4.4213445,1,4,0,19,2,31.1,1,0,0,0
2.0,0.592802,1.661198,0,4,0,5,1,11.3,0,1,0,0
3.0,1.858146,1.563854,0,2,1,11,2,11.4,1,0,0,0
15.0,2.073464,2.212005,0,5,1,26,1,28.9,0,1,0,0
15.0,0.3876075,0.9823265,0,3,0,25,2,28.9,0,1,0,0
15.0,0.3876075,1.27528,0,5,1,41,2,11.3,0,0,0,0
10.0,2.073464,4.4213445,0,2,1,18,1,33.9,0,0,1,0
10.0,0.69531,4.4213445,0,4,0,33,2,33.9,0,1,0,0
3.0,0.6956,3.0044,0,2,0,6,3,22.4,0,1,0,0
4.0,0.3876075,0.9823265,0,1,0,19,3,16.5,1,0,0,0
2.0,0.3876075,0.9823265,0,3,1,6,1,11.3,1,0,0,0
10.0,0.699078,2.778922,0,2,1,12,5,33.9,0,1,0,0
7.0,1.140525,4.4213445,0,5,1,13,2,33.9,0,0,1,0
8.0,2.073464,4.4213445,0,3,0,24,1,33.9,0,0,1,0
3.0,2.073464,1.306032,0,2,0,7,2,21.4,1,0,0,0
15.0,1.61184,3.90816,0,3,1,37,2,26.1,0,0,0,0
15.0,2.073464,4.4213445,0,3,1,9,1,32.0,1,0,0,0
11.0,2.073464,4.4213445,0,5,1,32,1,29.8,0,1,0,0
2.0,0.638778,0.9823265,1,1,0,3,3,11.3,0,1,0,0
10.0,2.073464,4.4213445,0,5,1,24,2,33.9,1,0,0,0
6.0,0.715806,2.182194,0,4,1,30,2,33.9,0,0,1,0
2.0,1.366944,1.417056,0,2,1,0,2,11.3,1,0,0,0
13.0,1.502868,4.4213445,0,4,1,20,3,28.6,1,0,0,0
2.0,2.073464,3.318376,0,1,0,16,2,23.6,0,0,1,0
13.0,2.073464,3.444,0,3,1,17,3,21.5,0,0,0,0
15.0,0.897156,0.9823265,0,2,1,24,1,11.3,0,1,0,0
15.0,0.99892,2.84308,0,3,0,15,1,16.3,1,0,0,0
15.0,1.437072,0.9823265,0,5,1,21,2,20.3,0,1,0,0
4.0,2.073464,4.4213445,0,1,1,20,2,25.4,1,0,0,0
10.0,0.53704,0.9823265,0,2,0,13,3,18.6,1,0,0,0
2.0,0.3876075,2.143029,1,1,1,12,1,11.3,1,0,0,0
2.0,0.42032,1.85168,0,2,1,14,4,16.8,0,1,0,0
2.0,0.3876075,1.770944,1,1,0,0,3,11.3,0,0,0,0
5.0,2.073464,4.4213445,0,4,1,33,1,33.9,0,0,1,0
8.0,0.462378,1.658622,0,4,0,10,1,11.7,0,1,0,0
10.0,0.3876075,0.9823265,0,3,0,30,2,11.3,1,0,0,0
2.0,0.3876075,1.7598,0,1,0,7,1,11.3,0,0,0,1
5.0,2.073464,1.36152,0,2,0,27,2,32.6,1,0,0,0
8.0,0.3876075,0.9823265,1,1,0,7,2,11.3,0,0,0,0
15.0,0.3876075,0.9823265,0,5,1,37,1,11.3,0,0,0,0
15.0,2.073464,4.4213445,0,3,1,33,4,33.9,0,0,0,0
4.0,2.073464,3.65148,0,3,1,10,1,18.8,1,0,0,0
2.0,1.15588,1.68412,1,1,1,1,3,11.3,0,0,1,0
4.0,0.64752,1.63248,0,3,1,4,2,14.6,0,1,0,0
8.0,0.3876075,0.9823265,0,1,0,7,1,13.6,1,0,0,0
3.0,0.3876075,0.9823265,0,4,1,38,3,11.3,0,0,1,0
6.0,0.3876075,4.4213445,0,3,1,17,1,18.8,1,0,0,0
15.0,2.073464,4.4213445,1,5,1,28,1,33.9,0,0,1,0
2.0,0.428298,1.509702,0,1,1,9,3,11.3,1,0,0,0
2.0,2.073464,4.4213445,1,1,0,15,2,18.9,0,0,1,0
8.0,0.3876075,0.9823265,0,2,1,8,6,14.2,0,0,0,0
2.0,0.843648,1.652352,0,1,1,19,2,13.6,1,0,0,0
14.0,2.073464,4.4213445,1,5,1,17,3,33.9,0,0,1,0
15.0,1.50765,2.86235,0,5,0,25,3,33.9,0,1,0,0
13.0,0.45396,1.48604,0,3,0,14,1,11.3,1,0,0,0
3.0,0.558144,3.089856,1,3,0,10,2,21.4,0,0,0,0
9.0,0.3876075,1.986678,0,3,1,4,4,18.7,0,0,0,0
2.0,1.314135,1.070865,0,2,1,13,2,23.0,0,1,0,0
2.0,0.80925,0.9823265,1,1,1,7,3,11.3,0,0,1,0
2.0,2.073464,4.4213445,1,2,1,3,3,22.0,1,0,0,0
4.0,2.073464,1.36576,1,3,1,17,5,33.9,1,0,0,0
3.0,0.429715,0.9823265,0,3,0,27,1,11.3,0,0,0,1
2.0,1.443848,1.615152,0,1,1,1,4,13.3,0,1,0,0
15.0,2.073464,4.4213445,0,5,1,36,3,33.9,0,0,1,0
6.0,1.33644,3.10356,1,4,0,4,2,13.3,0,0,0,0
5.0,2.073464,1.80708,0,3,0,29,2,20.6,0,1,0,0
14.0,0.671328,3.864672,0,2,0,3,1,25.9,1,0,0,0
15.0,0.87024,0.9823265,0,4,1,35,1,11.3,0,0,0,0
15.0,0.97902,2.80098,0,2,0,44,3,33.9,0,0,0,1
10.0,2.073464,4.4213445,0,2,1,21,4,33.9,0,0,1,0
5.0,2.073464,4.4213445,0,5,1,47,2,33.9,0,0,0,1
2.0,1.20246,1.73754,0,1,1,9,5,33.9,0,0,0,1
10.0,0.4158,1.3842,0,2,1,14,4,33.9,0,0,0,0
8.0,1.504704,1.759296,1,3,1,9,2,11.3,1,0,0,0
11.0,0.3876075,0.9823265,0,5,1,20,2,11.3,1,0,0,0
9.0,1.89405,4.4213445,0,3,1,4,1,17.7,1,0,0,0
8.0,1.839656,3.256344,0,3,1,26,4,33.9,0,0,0,0
2.0,0.3876075,0.9823265,0,1,1,0,3,11.3,1,0,0,0
8.0,0.435344,0.9823265,0,3,1,22,1,11.8,0,1,0,0
2.0,0.3876075,0.9823265,0,3,0,2,1,11.3,0,0,1,0
15.0,0.3876075,0.9823265,0,5,0,46,4,11.3,0,0,0,0
15.0,0.3876075,2.33772,0,4,1,26,1,11.3,0,0,1,0
5.0,0.3876075,0.9823265,0,3,1,14,2,13.9,0,0,1,0
6.0,2.073464,3.042066,0,3,0,11,3,24.3,0,0,1,0
15.0,2.073464,4.4213445,1,3,0,36,2,29.0,0,0,1,0
2.0,1.8753,4.4213445,1,2,1,6,3,24.1,0,1,0,0
14.0,1.246784,0.9823265,0,3,1,31,1,33.9,0,0,0,0
7.0,0.869952,3.546048,0,4,1,28,4,17.7,0,1,0,0
15.0,2.073464,4.4213445,0,5,1,29,4,33.9,0,0,0,0
2.0,0.3876075,2.43237,0,1,1,29,3,11.3,0,0,1,0
2.0,1.35432,2.40768,1,4,1,2,2,18.8,0,0,1,0
2.0,0.91596,1.12404,0,1,1,0,1,18.2,0,1,0,0
14.0,2.073464,4.4213445,0,4,0,31,3,33.9,1,0,0,0
15.0,0.3876075,1.14336,1,2,0,1,2,11.3,1,0,0,0
2.0,2.073464,4.4213445,1,3,1,4,1,14.7,0,0,1,0
2.0,1.037205,0.9823265,0,1,1,21,3,11.3,0,1,0,0
2.0,0.3876075,0.9823265,0,2,1,8,1,22.6,0,1,0,0
2.0,1.44628,0.9823265,0,1,1,1,3,22.6,0,1,0,0
15.0,2.073464,4.4213445,1,4,1,28,3,33.9,1,0,0,0
15.0,0.3876075,0.9823265,0,2,0,32,2,11.3,0,1,0,0
6.0,0.612808,1.123192,0,3,0,12,3,19.5,1,0,0,0
2.0,1.92413,3.40587,0,1,1,7,3,31.2,0,0,1,0
2.0,0.3876075,2.61924,0,3,1,3,1,27.7,0,0,1,0
2.0,2.073464,4.4213445,0,1,1,25,1,33.9,0,0,0,1
4.0,0.60123,0.9823265,0,1,1,15,1,22.9,1,0,0,0
15.0,0.943488,2.800512,0,4,1,40,2,33.9,1,0,0,0
2.0,1.068012,4.4213445,1,3,1,4,3,17.7,0,0,1,0
10.0,0.3876075,1.614544,0,1,1,20,1,16.2,1,0,0,0
7.0,1.10112,0.9823265,0,3,1,48,3,11.3,1,0,0,0
15.0,1.795472,4.4213445,0,4,0,33,1,33.9,0,0,0,0
15.0,0.9856,4.4213445,0,5,1,31,3,33.9,0,0,1,0
10.0,2.073464,4.4213445,1,4,1,14,3,33.9,0,0,1,0
5.0,1.079232,2.616768,0,5,1,23,3,33.9,0,0,1,0
5.0,2.073464,3.155965,0,2,0,16,1,33.9,0,1,0,0
2.0,2.008448,4.4213445,1,4,1,1,1,12.1,0,1,0,0
7.0,2.073464,4.4213445,0,4,1,30,3,33.9,0,1,0,0
2.0,0.46284,0.9823265,0,2,0,0,1,11.3,1,0,0,0
8.0,0.8239,1.1011,0,3,1,24,4,11.9,1,0,0,0
10.0,0.6732,0.9823265,0,3,1,24,2,33.9,0,0,0,1
2.0,0.3876075,0.9823265,0,4,0,2,6,11.3,0,0,0,1
15.0,1.92774,4.4213445,0,1,0,21,3,30.6,0,0,0,1
8.0,1.586865,2.858135,0,1,0,5,4,14.0,1,0,0,0
2.0,1.90371,2.37429,0,2,1,6,7,18.9,0,0,1,0
4.0,0.3876075,1.482912,0,1,1,30,2,26.8,1,0,0,0
2.0,0.571428,0.9823265,1,3,1,1,2,12.5,0,1,0,0
15.0,2.073464,3.822687,0,3,1,15,2,33.9,1,0,0,0
2.0,1.053888,1.058112,0,1,0,16,2,11.3,0,0,0,0
15.0,2.073464,4.27329,0,5,1,22,4,33.9,1,0,0,0
15.0,0.3876075,0.9823265,0,5,0,38,2,11.3,1,0,0,0
10.0,0.557612,2.110388,0,4,1,19,2,23.2,0,1,0,0
14.0,1.168272,1.393728,0,3,1,32,5,24.5,0,0,0,0
10.0,0.3876075,1.61216,0,1,1,23,1,17.0,0,0,1,0
2.0,0.3876075,0.9823265,1,1,0,4,2,11.3,1,0,0,0
2.0,1.596912,3.571088,0,1,1,16,4,13.9,0,0,1,0
15.0,2.073464,4.4213445,1,4,0,12,2,17.5,1,0,0,0
15.0,0.3876075,0.9823265,0,3,0,15,2,11.3,1,0,0,0
2.0,1.490635,3.562365,1,1,1,4,1,11.3,0,0,1,0
15.0,2.073464,4.4213445,0,3,1,33,4,33.9,0,0,0,0
4.0,1.073903,2.357097,0,1,1,25,1,23.3,1,0,0,0
10.0,0.3876075,0.9823265,0,3,0,13,1,16.3,0,0,0,0
7.0,0.3876075,1.26665,0,2,0,8,2,15.4,1,0,0,0
15.0,2.073464,4.4213445,0,3,1,35,1,33.9,1,0,0,0
10.0,0.601634,0.9823265,0,5,0,8,5,27.0,0,0,0,1
2.0,1.09032,1.54968,1,1,1,4,4,11.3,1,0,0,0
3.0,2.073464,4.097274,1,3,0,12,2,26.8,0,0,1,0
15.0,2.073464,3.627078,0,5,1,22,2,29.7,0,0,0,0
2.0,0.3876075,1.24576,1,2,0,1,1,20.4,0,1,0,0
2.0,2.073464,4.4213445,0,2,1,9,2,33.9,0,0,0,1
15.0,1.348872,1.759128,0,5,0,26,3,11.3,1,0,0,0
6.0,0.456672,1.687328,0,4,0,15,1,15.6,1,0,0,0
3.0,0.751168,4.4213445,0,2,0,15,3,33.9,0,0,1,0
5.0,1.574388,2.061612,1,3,1,5,2,11.3,0,0,1,0
2.0,0.486168,0.9823265,0,1,1,1,3,16.5,0,1,0,0
2.0,0.63126,3.14874,1,1,1,0,2,12.9,0,0,1,0
15.0,2.073464,4.4213445,0,5,0,8,2,33.9,0,1,0,0
2.0,0.3876075,0.9823265,1,3,1,4,2,11.3,0,0,0,1
5.0,0.3876075,1.484145,0,2,0,47,2,11.3,0,1,0,0
10.0,1.684032,3.019968,0,2,0,12,4,33.9,1,0,0,0
2.0,0.3876075,0.9823265,0,2,0,7,2,11.9,0,1,0,0
7.0,1.03626,0.9823265,1,2,0,7,2,11.3,0,1,0,0
4.0,0.3876075,0.9823265,0,4,0,12,3,11.3,0,0,0,0
3.0,2.073464,4.4213445,1,3,1,15,1,33.9,1,0,0,0
2.0,0.643356,1.354644,1,1,0,0,4,11.3,0,0,0,0
10.0,0.724608,1.723392,0,2,1,9,1,18.1,1,0,0,0
2.0,0.8918,4.0082,0,1,1,6,3,12.1,1,0,0,0
2.0,0.3876075,0.9823265,0,1,1,6,2,11.3,0,0,1,0
5.0,1.451511,1.251489,0,2,0,27,4,32.9,1,0,0,0
15.0,1.524536,4.039464,0,5,1,31,5,25.2,0,0,0,0
15.0,0.3876075,1.058442,0,1,0,27,3,11.3,0,1,0,0
8.0,1.820444,1.465556,0,4,1,6,1,17.8,0,0,0,1
9.0,2.073464,4.4213445,1,1,1,17,5,33.9,1,0,0,0
2.0,1.09392,3.99408,1,2,1,15,3,16.3,0,1,0,0
5.0,0.3876075,1.26772,0,2,1,17,3,11.3,0,1,0,0
2.0,0.9768,1.4232,1,1,0,3,2,11.3,1,0,0,0
15.0,0.3876075,1.19187,0,4,0,17,1,11.3,0,0,0,0
9.0,1.1058,1.1742,0,5,0,10,4,28.2,0,1,0,0
9.0,0.3876075,0.9823265,0,5,0,8,1,19.1,1,0,0,0
15.0,0.3876075,0.9823265,0,5,1,39,5,24.6,0,1,0,0
2.0,0.86072,2.10728,1,4,1,9,2,11.5,1,0,0,0
6.0,0.3876075,0.9823265,0,4,0,23,1,17.0,0,0,0,0
15.0,0.7209,0.9823265,0,2,1,43,2,18.8,0,0,1,0
15.0,0.591072,4.4213445,0,5,1,32,5,19.1,0,0,1,0
9.0,0.62315,4.4213445,0,5,1,20,5,33.9,0,1,0,0
2.0,0.3876075,2.750202,1,4,0,7,2,17.0,0,0,0,0
2.0,0.940405,0.9823265,1,3,1,9,2,11.3,0,0,0,0
11.0,0.6012,0.9823265,0,5,0,16,3,19.5,0,0,0,0
2.0,1.435608,2.332392,1,1,1,2,2,18.1,1,0,0,0
15.0,0.721791,0.9823265,0,4,0,25,3,11.3,0,0,1,0
4.0,0.3876075,0.9823265,0,4,0,24,2,11.3,1,0,0,0
2.0,1.086512,0.9823265,0,2,1,0,4,11.3,1,0,0,0
4.0,1.453869,1.057131,0,3,0,12,2,14.6,0,1,0,0
5.0,0.3876075,0.9823265,0,3,1,24,1,11.3,0,0,0,0
2.0,0.3876075,0.9823265,0,1,0,0,2,11.3,1,0,0,0
8.0,2.073464,4.4213445,0,1,1,12,3,29.1,0,0,1,0
2.0,0.854244,1.341756,1,1,1,2,1,11.3,0,0,1,0
15.0,2.073464,4.4213445,0,4,0,16,3,33.9,1,0,0,0
15.0,2.073464,4.4213445,0,4,1,12,4,33.9,0,1,0,0
15.0,2.073464,4.4213445,1,4,1,19,4,33.9,0,1,0,0
15.0,2.073464,4.4213445,0,5,1,24,3,33.9,0,0,1,0
12.0,2.073464,4.4213445,1,3,0,15,2,33.9,0,0,0,0
11.0,2.073464,4.4213445,0,3,1,24,1,33.9,0,0,1,0
9.0,2.073464,3.01678,0,4,1,19,2,33.9,0,0,0,1
2.0,0.3876075,1.039104,0,3,1,3,1,21.4,0,1,0,0
15.0,2.073464,4.4213445,0,2,1,43,3,33.9,0,0,1,0
2.0,1.082998,1.024002,1,4,1,6,2,18.2,1,0,0,0
14.0,0.852,1.148,0,5,0,21,2,23.9,1,0,0,0
12.0,2.073464,4.4213445,0,4,0,14,2,28.1,0,0,1,0
5.0,0.794508,0.9823265,0,3,0,15,1,24.7,0,0,1,0
11.0,0.940324,0.9823265,0,3,0,15,1,24.3,0,1,0,0
2.0,0.690525,1.784475,1,4,1,5,2,25.6,0,0,1,0
2.0,0.3876075,0.9823265,0,3,1,0,2,15.2,1,0,0,0
9.0,0.3876075,0.9823265,0,4,1,8,1,27.0,0,0,0,0
15.0,1.498032,4.4213445,0,4,0,17,2,33.9,0,0,1,0
9.0,0.713748,1.722252,1,5,0,8,2,11.3,0,0,1,0
8.0,0.602822,4.379178,0,4,0,38,4,32.2,1,0,0,0
3.0,1.639745,2.979255,0,4,1,26,2,14.2,0,0,1,0
13.0,0.801414,1.952586,0,4,0,17,1,28.2,0,1,0,0
2.0,0.511275,0.9823265,0,2,1,7,3,11.3,0,1,0,0
4.0,0.3876075,0.9823265,0,4,0,1,2,11.3,1,0,0,0
15.0,1.176136,3.295864,0,4,1,31,1,33.9,0,0,1,0
14.0,0.3876075,4.00686,0,4,0,18,4,32.5,1,0,0,0
15.0,0.3876075,2.160816,0,3,0,45,1,11.6,1,0,0,0
15.0,2.073464,4.4213445,0,5,1,31,4,33.9,0,0,0,0
15.0,1.532076,4.4213445,0,1,0,17,4,33.9,0,1,0,0
15.0,0.495846,1.025154,0,2,1,51,3,11.3,0,1,0,0
2.0,0.994934,0.983066,1,1,1,0,2,13.0,1,0,0,0
2.0,0.3876075,1.75538,1,1,0,4,2,11.3,1,0,0,0
5.0,0.48972,1.35828,0,3,1,16,4,21.6,1,0,0,0
5.0,1.1712,3.7088,0,4,1,21,2,22.8,0,0,1,0
2.0,0.3876075,2.98849,0,4,1,4,5,14.5,0,0,0,1
3.0,0.69552,1.19448,0,2,1,5,4,13.5,0,1,0,0
3.0,0.3876075,1.25064,1,2,1,24,6,30.3,0,1,0,0
2.0,2.073464,2.47845,1,4,0,13,1,33.9,0,1,0,0
6.0,0.3876075,0.9823265,0,4,1,4,2,17.3,0,0,0,0
3.0,2.073464,2.694216,0,4,1,36,2,32.2,0,0,0,1
11.0,1.8018,1.3482,0,5,1,15,1,16.7,0,1,0,0
15.0,2.073464,4.4213445,1,2,1,22,1,33.9,0,0,1,0
6.0,2.073464,4.4213445,0,3,0,11,3,33.9,0,0,1,0
13.0,2.073464,4.4213445,0,5,1,11,3,33.9,0,1,0,0
11.0,1.9404,4.4213445,0,2,1,24,1,33.9,0,1,0,0
12.0,0.3876075,0.9823265,0,3,0,17,1,21.5,0,1,0,0
11.0,0.57456,4.4213445,0,4,0,17,3,19.3,1,0,0,0
2.0,0.3876075,1.15515,1,1,1,1,3,11.3,0,1,0,0
15.0,0.50232,2.61768,0,3,0,34,3,33.9,0,0,1,0
15.0,0.664332,3.337668,0,5,0,23,3,12.9,0,0,0,0
6.0,1.41,2.34,0,5,1,6,2,33.9,0,0,1,0
6.0,1.89552,3.38448,0,3,1,14,2,33.9,0,0,1,0
15.0,0.580944,0.9823265,0,4,0,28,1,11.3,0,0,0,1
2.0,1.37214,1.59786,1,1,1,4,2,24.8,0,0,1,0
2.0,0.742968,0.9823265,1,2,1,5,1,11.8,0,0,0,0
15.0,1.417944,1.288056,0,5,1,55,4,16.5,1,0,0,0
7.0,2.073464,0.9823265,1,3,1,8,2,31.2,0,0,1,0
14.0,2.073464,4.4213445,1,4,0,19,1,33.9,0,0,1,0
14.0,0.3876075,0.9823265,0,3,0,36,3,11.3,0,0,0,0
15.0,0.3876075,0.9823265,0,5,1,38,1,11.3,1,0,0,0
6.0,0.3876075,1.624644,0,4,1,18,3,33.4,1,0,0,0
9.0,2.073464,4.4213445,1,3,1,34,1,33.9,0,1,0,0
