creddebt,othdebt,default,homeown,address,cars,carvalue,edcat3,edcat4,edcat5,income
0.3876075,1.1172,1,1,3,3,11.3,1,0,0,2.351708521806686
0.3876075,2.9728,0,1,3,3,20.1,0,0,1,2.7463679525813456
1.297296,1.510704,1,0,5,4,11.3,1,0,0,2.46003030879136
2.073464,3.104244,1,0,2,3,30.0,0,1,0,3.0115206977931366
0.3876075,1.321639,0,1,29,3,11.3,1,0,0,1.9722154322948249
2.073464,4.417578,1,0,3,2,25.6,0,0,0,2.704246861378462
2.073464,4.4213445,1,1,16,3,33.9,0,0,0,3.1426261891450604
0.3876075,0.9823265,0,1,14,2,11.3,0,1,0,1.8360113070546324
2.073464,3.556662,1,1,3,4,19.8,0,0,0,2.704246861378462
0.953904,1.050096,0,1,13,2,11.3,0,0,0,2.0298559693409404
0.3876075,0.9823265,0,1,17,2,20.0,0,0,1,2.996572017704461
0.3876075,0.9823265,0,0,14,5,11.3,0,0,0,1.9080988606101053
1.843632,2.062368,0,0,11,1,18.8,0,0,0,2.772447904688752
0.3876075,0.9823265,0,0,22,1,11.3,0,1,0,1.9080988606101053
2.073464,4.4213445,1,1,29,3,33.9,0,1,0,3.370644403203526
1.39104,4.12896,0,1,23,2,30.6,0,0,0,2.842736942103692
0.3876075,1.3209,1,0,7,2,15.8,0,0,1,2.657931590812515
0.3876075,0.9823265,0,1,5,2,11.3,1,0,0,2.2145185330389654
0.46644,2.29356,0,1,6,2,15.8,0,0,0,2.46003030879136
2.029635,3.853365,0,1,27,3,22.9,0,0,0,2.704246861378462
0.3876075,0.9823265,0,1,37,2,11.3,1,0,0,2.173867546507328
0.396576,0.9823265,0,1,10,4,28.9,0,1,0,2.6893116971750457
0.94581,0.9823265,0,0,2,2,11.3,0,1,0,2.173867546507328
0.3876075,0.9823265,0,1,13,5,13.8,0,0,0,2.831759586179901
1.12996,1.53504,0,0,8,2,33.9,0,1,0,2.996572017704461
0.3876075,1.955575,1,0,4,1,11.3,0,0,0,2.3206286159024154
0.466923,4.156077,0,1,24,2,33.9,0,1,0,3.0259567506545086
2.073464,4.4213445,0,1,17,1,33.9,0,1,0,3.018800752574748
2.073464,4.4213445,1,0,15,3,33.9,0,0,0,3.257680096395127
0.3876075,0.9823265,0,1,7,2,11.3,0,0,0,2.673883628868984
2.073464,1.097024,0,1,17,2,33.9,0,0,1,3.291980134822148
0.76472,1.17128,0,1,10,1,21.9,0,1,0,2.797115291190978
1.657656,1.774344,0,0,12,3,20.7,0,0,0,2.641421570789816
1.22202,1.56798,1,1,2,2,11.3,0,1,0,2.173867546507328
1.100841,3.022159,1,0,19,3,20.7,0,0,0,2.6065744664362365
2.073464,2.19952,1,1,4,3,11.3,0,0,0,2.351708521806686
0.3876075,0.9823265,0,1,5,2,20.7,1,0,0,2.8534502238266977
2.073464,4.4213445,0,1,48,2,22.0,0,1,0,2.673883628868984
1.232,4.4213445,0,0,13,3,27.7,0,0,0,2.9127836720760665
1.31733,2.25267,0,1,1,3,15.1,1,0,0,2.5881508887538
2.073464,0.9823265,1,1,0,4,11.3,0,0,0,2.3206286159024154
0.780528,4.067472,1,1,19,3,21.2,0,0,0,2.842736942103692
2.073464,1.72445,1,1,8,2,16.2,0,0,0,2.673883628868984
1.344,2.156,0,1,19,2,20.2,0,0,0,2.673883628868984
1.704726,1.049274,0,1,50,2,11.3,0,0,0,2.2523032588823373
0.3876075,0.9823265,0,0,6,4,11.3,1,0,0,2.3206286159024154
2.073464,4.4213445,0,1,39,3,33.9,0,0,0,3.579626543164377
2.073464,4.4213445,1,0,19,2,31.1,0,0,0,2.9219351260234374
0.592802,1.661198,0,0,5,1,11.3,1,0,0,2.435041821647632
1.858146,1.563854,0,1,11,2,11.4,0,0,0,2.5689952186268696
2.073464,2.212005,0,1,26,1,28.9,1,0,0,3.0115206977931366
0.3876075,0.9823265,0,0,25,2,28.9,1,0,0,2.8089624323150884
0.3876075,1.27528,0,1,41,2,11.3,0,0,0,2.2145185330389654
2.073464,4.4213445,0,1,18,1,33.9,0,1,0,3.163435680457179
0.69531,4.4213445,0,0,33,2,33.9,1,0,0,3.0791686310061497
0.6956,3.0044,0,0,6,3,22.4,1,0,0,2.704246861378462
0.3876075,0.9823265,0,0,19,3,16.5,0,0,0,2.657931590812515
0.3876075,0.9823265,0,1,6,1,11.3,0,0,0,2.408750132704112
0.699078,2.778922,0,1,12,5,33.9,1,0,0,3.0600053518353385
1.140525,4.4213445,0,1,13,2,33.9,0,1,0,3.24962335816609
2.073464,4.4213445,0,0,24,1,33.9,0,1,0,3.2156106593820404
2.073464,1.306032,0,0,7,2,21.4,0,0,0,2.820505816466207
1.61184,3.90816,0,1,37,2,26.1,0,0,0,3.097478579611526
2.073464,4.4213445,0,1,9,1,32.0,0,0,0,3.039911869358181
2.073464,4.4213445,0,1,32,1,29.8,1,0,0,2.93089755856381
0.638778,0.9823265,1,0,3,3,11.3,1,0,0,2.1299186755973434
2.073464,4.4213445,0,1,24,2,33.9,0,0,0,3.197425525518002
0.715806,2.182194,0,1,30,2,33.9,0,1,0,3.0259567506545086
1.366944,1.417056,0,1,0,2,11.3,0,0,0,2.2145185330389654
1.502868,4.4213445,0,1,20,3,28.6,0,0,0,2.8741300447498843
2.073464,3.318376,0,0,16,2,23.6,0,1,0,3.0115206977931366
2.073464,3.444,0,1,17,3,21.5,0,0,0,2.759593793940161
0.897156,0.9823265,0,1,24,1,11.3,1,0,0,2.08213820289468
